ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
1275 Oscar Street,1275 Oscar Street Holdings Ltd,,,$55.00,"Victoria, BC",Aug-22,ACTIVE,"OC 5721
K1",TU2-R13,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
129 Gorge Road E,Belmont Properties,"months on invoice
",,$55.00,"Victoria, BC",Apr-23,ACTIVE,453,W2-R22,June,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,Y,,,,,
1291 Craigflower Road,Devon Properties,,,$50.00,"Esquimalt, BC",Jan-23,ACTIVE,413,W2-R22,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,Y,,,,,
1293 Craigflower Road,Devon Properties,,,$50.00,"Esquimalt, BC",Jan-23,ACTIVE,413,W2-R22,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,Y,,,,,
1295 Craigflower Road,Devon Properties,,,$50.00,"Esquimalt, BC",Jan-23,ACTIVE,413,W2-R22,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,Y,,,,,
1297 Craigflower Road,Devon Properties,,,$50.00,"Esquimalt, BC",Jan-23,ACTIVE,413,W2-R22,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,Y,,,,,
1300 Yates Street,Pacific Cove,,,$55.00,"Victoria, BC",Feb-21,ACTIVE,"RA 0031
K2",TH1-R8,October,Y,Y,Y,Y,Y,X,Y,Y,Y,X,X,ANNUAL,,,,,
1301 Fort Street,Proline,,,$55.00,"Victoria, BC",Feb-15,ACTIVE,"YT 1031
K1",M1-R2,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1301 Pandora,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,153,TH1-R8,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1308-1312 Douglas Street,Exchequer,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,339,TH3-R21,May,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
131 Gorge Road E,Belmont Properties,"months on invoice
",,$55.00,"Victoria, BC",Apr-23,ACTIVE,453,W2-R22,June,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,,,,,
1312 Beach Drive,South Island,,,$50.00,"Oak Bay, BC",,ACTIVE,3,TU2-R13,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,,,,,
1312 Blanshard Street,Richmond Property Group,,,$55.00,"Victoria, BC",Jul-22,ACTIVE,"CB 2131
K1-F2",TH3-R21,June,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1317 Hillside,Vince Collard,,,$55.00,"Victoria, BC",Jun-20,ACTIVE,"XH 7131
K6",M1-R1,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1319 Newport Avenue,Christiane Selenz,,,$65.00,"Oak Bay, BC",Dec-23,ACTIVE,NA 9131,TU2-R13,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1320 Rockland Avenue,Brown Bros.,We missed doing this during merger. Re-added to MBT in Dec/23,,$50.00,"Victoria, BC",Dec-23,ACTIVE,161,TH1-R9,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1321 Broad Street,Richmond Property Group Ltd.,,,$75.00,"Victoria, BC",Nov-25,ACTIVE,378,TH3-R21,April,-,-,-,-,-,-,-,-,-,-,Y,Y,,,,,
1321 Fernwood Road,Victoria Native Friendship Centre,,,$75.00,"Victoria, BC",Jun-25,ACTIVE,WF 1231,TH1-R8,March,-,-,-,-,-,Y,Y,Y,Y,X,X,X,,,,,
1322 Blanshard Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,382,TH3-R21,May,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,Y,Y,,,,,
1325 Franklin Terrace,Newport Property Management,,,$50.00,"Victoria, BC",,ACTIVE,173,M1-R2,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1325 Government Street,Wing Lee Holdings Ltd.,,,$65.00,"Victoria, BC",Jun-25,ACTIVE,No keys,TH3-R21,April,-,-,-,-,-,Y,X,Y,Y,Y,Y,Y,,,,,
133 Gorge Road E,Belmont Properties,months on invoice,,$50.00,"Victoria, BC",Apr-23,CANCELLED,454,-,June,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
1337 Saunders Street,Belmont Properties,"months on invoice
",,$55.00,"Esquimalt, BC",Sep-23,ACTIVE,DS 7331,W1-R7,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,,,,,
1340 Sussex Road,Belmont Properties,"months on invoice
",,$55.00,"Esquimalt, BC",Apr-23,ACTIVE,447,W1-R7,December,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,X,,,,,
135 Gorge Road E,Belmont Properties,"months on invoice
",,$55.00,"Victoria, BC",Apr-23,ACTIVE,453,W2-R22,June,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,,,,,
1350 Stanley Avenue,Capital West,,,$60.00,"Victoria, BC",Jun-23,ACTIVE,SA 0531,TH1-R8,March,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1354 Craigdarroch Road,Newport Property management,,,$50.00,"Esquimalt, BC",,ACTIVE,174,M1-R1,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1368 Pandora Avenue,Capital West,,,$60.00,"Victoria, BC",Jun-23,ACTIVE,PP 8631,M1-R3,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1369 Mitchell Street,Oak Bay United Church,,,$55.00,"Oak Bay, BC",Nov-21,ACTIVE,"UC 9631
K2",TU2-R13,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1392 Rockland Avenue,Gibraltar ,,,$50.00,"Victoria, BC",,ACTIVE,30,M1-R1,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1399 Stanley Avenue,Belmont Properties,"months on invoice
3 months free between August / October 2025 - Projects",,$55.00,"Victoria, BC",Apr-23,ACTIVE,452,TH1-R8,August,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,,,,,
1400 Beach Drive,Capital West,,,$60.00,"Oak Bay, BC",Jun-23,ACTIVE,BR 0041,TU2-R13,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1400 Quadra Street,Starlight Properties c/o Devon Properties Ltd.,Kane sent an email about the by inhibit situation. Put on hold. 26 June 2025,,$125.00,"Victoria, BC",May-25,ACTIVE,DQ 0041,TH1-R8,March,-,-,-,-,Y,Y,X,Y,Y,Y,Y,Y,,,,,
1407 Fort Street,Proline,,,$55.00,"Victoria, BC",Feb-15,ACTIVE,"ZT 7041
K2",TH1-R8,October,Y,Y,Y,Y,Y,X,X,X,X,Y,Y,Y,,,,,
1407 Government Street,South Island Property Mgmt,,,$55.00,"Victoria, BC",Sep-15,ACTIVE,"GS 7041
K6",TH3-R21,June,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,,,,,
1410 Fort Street,Devon,,,$55.00,"Victoria, BC",Sep-24,ACTIVE,FS 0141,M1-R2,September,Y,Y,Y,Y,Y,Y,Y,X,ANNUAL,Y,Y,Y,,,,,
1414 Hillside Avenue,Brown Bros.,,,$50.00,"Victoria, BC",,ACTIVE,461,W1-R6,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1419 Fort Street,Newport Property,,,$65.00,"Victoria, BC",,ACTIVE,N/A,M1-R1,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1419 Stadacona Avenue & 1545 Pandora Avenue,Colyvan Pacific,,,$55.00,"Victoria, BC",Dec-16,ACTIVE,"SC 9141
K2-F1",M1-R3,May,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1430 Stadacona Avenue,Starlight/Devon,,,$60.00,"Victoria, BC",,ACTIVE,396,M1-R1,T.O,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,,,,,
1433 Faircliff Lane,Oakwood,,,$55.00,"Victoria, BC",Apr-17,ACTIVE,"IT 3341
K3",TU2-R13,November,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1435 Elford Street,TPM Management,,,$65.00,"Victoria, BC",,ACTIVE,395,M1-R1,July,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1436 Harrison Street                                                       ,Firm Management,,,$55.00,"Victoria, BC",Aug-22,ACTIVE,"H 6341
K1-F1",TH1-R8,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1445 Fort Street,Brown Bros.,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,141,TH1-R8,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
146 Clarence Street,Century 21 ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,112,W3-R20,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1461 Blanshard Street,Congregation Emanu-el,,,$60.00,"Victoria, BC",Dec-23,ACTIVE,LD 1641,TH1-R8,January,Y & ANNUAL,Y,Y,Y,Y,Y,X,X,Y,X,Y,Y,,,,,
1465 Fort Street,Brown Brothers Property Management,,,$75.00,"Victoria, BC",Jul-25,ACTIVE,FT 5641,M1-R1,December,-,-,-,-,-,-,Y,Y,Y,Y,Y,Y,,,,,
1468 Vancouver Street,Townline,,,$125.00,"Victoria, BC",Nov-25,ACTIVE,CV 8641,TH2-R15,June,-,-,-,-,-,-,-,-,-,-,Y,Y,,,,,
1483 Douglas Street,Porte Realty,,,$55.00,"Victoria, BC",Feb-20,ACTIVE,SA 3841,TH3-R21,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1485 Fort Street,Peter Hejjas,,,$65.00,"Victoria, BC",,ACTIVE,138,M1-R1,January,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1488 Cook Street,Centurion Properties,Month on invoice,,$85.00,"Victoria, BC",Jan-23,ACTIVE,347,TH1-R8,April,Y,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,,,,,
1490 Garnet Road,Complete Residential,,,$55.00,"Saanich, BC",Nov-18,ACTIVE,LA 0941,TH2-R23,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1495 Admirals Road,Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23882 - Mar.31/21 @ $55 + TC06",,$275.00,"Esquimalt, BC",Mar-21,ACTIVE,No Key,M3-R17,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,X,Y,,,,,
1501 Laurel Lane,SRL Fire Protection,,,$55.00,"Victoria, BC",Aug-22,ACTIVE,"LL 1051
K2",TH1-R9,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1504 Church Street,Proline Property Management Ltd.,,,$75.00,"Victoria, BC",Nov-25,ACTIVE,HC 4051,TH2-R23,October,-,-,-,-,-,-,-,-,-,-,Y,Y,,,,,
1505 Belcher Avenue,Brown Bros.,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,140,W2-R14,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1505 Morrison Street,Newport Property management,,,$50.00,"Victoria, BC",,ACTIVE,06,M1-R1,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
151 St. Andrews Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,147,TU3-R18,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1510 / 1520 McKenzie Avenue,Greystar,,,$75.00,"Saanich, BC",Nov-25,ACTIVE,MK 151,TH2-R23,June,-,-,-,-,-,-,-,-,-,-,Y,Y,,,,,
1510 Hillside Avenue,South Island Property Mgmt,,,$55.00,"Victoria, BC",,ACTIVE,"BT 0151
K6",W1-R6,August,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1510 Jubilee Avenue,Pemberton Holmes,,,$50.00,"Victoria, BC",,ACTIVE,95,M1-R1,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1512 Keating Cross Road,Central Saanich Municipality,"Billed under one MBT (QB)- Central saanich 
PO & Months Required ",,$65.00,"Saanichton, BC",Jan-20,ACTIVE,onsite contact,TU2-R12,June,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1520 Belcher Avenue,Pemberton Holmes,Free of charge for 3 months after September 2025 - Projects,,$50.00,"Victoria, BC",Jan-23,ACTIVE,97,W2-R14,March,Y,Y,ANNUAL,Y,Y,X,X,X,X,Y,Y,Y,,,,,
1520 Jubilee Avenue,Pemberton Holmes,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,96,W2-R14,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,Y,,,,,
1527 Cedar Hill Cross Road,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,107,TH2-R23,November,Y,Y,Y,Y,Y,Y,X,Y,X,Y,ANNUAL,Y,,,,,
1527 Fort Street,Pemberton Holmes Ltd.,,,$65.00,"Victoria, BC",Mar-25,ACTIVE,TF 7251,M1-R1,July,-,-,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1530 Belcher Avenue,Newport      Bornemann,,,$50.00,"Victoria, BC",Jan-23,CANCELLED,60,-,October,Y,-,-,-,-,-,-,-,-,-,-,-,,,,,
1535 Jubilee Avenue,Szlanko Family Trust,,,$75.00,"Victoria, BC",Oct-25,ACTIVE,JL 5351,M1-R1,August,-,-,-,-,-,-,-,-,-,Y,Y,Y,,,,,
1536 Wilmot Place,Devon Properties Ltd.,,,$75.00,"Victoria, BC",Oct-25,ACTIVE,,TU2-R13,September,-,-,-,-,-,-,-,-,-,Y,Y,Y,,,,,
1550 Richmond Road,Itziar Management,,,$55.00,"Victoria, BC",Apr-14,ACTIVE,"OO 0551
K2",W2-R14,August,Y,Y,X,X,X,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1550 Stockton Crescent,Devon Properties,,,$55.00,"Victoria, BC",Mar-24,ACTIVE,LY 0551,TH2-R23,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1555 Jubilee Avenue,Devon Properties,,,$60.00,"Victoria, BC",May-23,ACTIVE,"CJ 5551
[K2]",M1-R1,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1555 Richmond Road,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,329,W2-R14,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1573/1575 Begbie Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,74,M1-R3,May,Y,Y,Y,Y,Y,ANNUAL,Y,X,Y,Y,Y,Y,,,,,
1580 Hillside Avenue,Thrifty Foods,Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  ,,$275.00,"Victoria, BC",Apr-21,ACTIVE,No Key,M3-R17,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1581 Hillside Avenue,Brown Brothers Property Management,,,$55.00,"Victoria, BC",,ACTIVE,"W 1851
K2",W1-R6,January,Y & ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1585 Oak Bay Avenue,Pemberton Holmes,,,$50.00,"Oak Bay, BC",,ACTIVE,364,M1-R1,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1590 Fairfield Road,Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23883 - Dec.1/20-Mar.31/21 @ $55 + TC06",,$275.00,"Victoria, BC",20-Dec,ACTIVE,No Key,M2-R11,February,Y,Y,Y,X,Y,Y,Y,Y,X,Y,Y,Y,,,,,
1595 Rockland Avenue,J Gordon Enterprises Ltd,,,$55.00,"Victoria, BC",Aug-20,ACTIVE,"PG 5951
K1",M1-R1,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
160 Wilson Street,Proline,,,$55.00,"Victoria, BC",Aug-14,ACTIVE,"PT061 
K3-F1",W1-R7,March,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,X,,,,,
1612 Quadra Street,Yeung's Family Holdings,Apply credit from QB to invoices ,,$65.00,"Victoria, BC",,ACTIVE,56,M1-R2,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1615 Belcher Avenue,Strata Plan VIS 457,,,$65.00,"Victoria, BC",Feb-25,ACTIVE,BC 5161,W2-R14,April,X,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1625 Richmond Road,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,330,W2-R14,November,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,,,,,
1653 Oak Bay Ave,Century 21,,,$70.00,"Victoria, BC",Jun-24,ACTIVE,BO 3561,M1-R1,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1655 Begbie Street,Proline,,,$55.00,"Victoria, BC",,ACTIVE,"G 5561
K2",M1-R3,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1655 Chambers Street,Pacific Cove Properties,,,$65.00,"Victoria, BC",Feb-24,ACTIVE,BR 5561,M1-R3,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,Y,Y,Y,,,,,
1660 Fort Street,Century 21 ,,,$50.00,"Victoria, BC",,ACTIVE,167,M1-R1,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1669 Fairfield Road,Newport Property Management,,,$50.00,"Victoria, BC",,ACTIVE,336,M1-R1,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1677 Hollywood Crescent,Newport Property,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,335,M2-R11,March,Y,Y,ANNUAL,X,Y,Y,Y,Y,X,Y,Y,Y,,,,,
1678 Fort Street,Cascadia Comm. Solutions new late 2022) (was TPM Properties),,,$55.00,"Victoria, BC",Nov-22,ACTIVE,"HC 8761
K2",M1-R3,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1720 Richmond Avenue,Proline,,,$55.00,"Victoria, BC",Dec-19,ACTIVE,"QL 0271
K2",M1-R1,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1721 Quadra Street,Strata Plan Vis 5799,,,$55.00,"Victoria, BC",Jul-16,ACTIVE,"P 1271
K4",M1-R3,March,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1731 Cook Street,Tri-Eagle,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,52,M1-R3,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1760 Fort Street,Pemberton Holmes,,,$50.00,"Victoria, BC",,ACTIVE,157,M1-R1,August,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1791 Rockland Avenue,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,158,W2-R14,March,Y,ANNUAL,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,,,,
1802-1826 Government Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,379,TH3-R21,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1809 Hovey Road,Panorma Recreation Centre,,,$65.00,"Saanichton, BC",Dec-20,ACTIVE,FH 9081,TU2-R12,December,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1821 Cook Street,Cornerstone,,,$55.00,"Victoria, BC",Jun-13,ACTIVE,"Z 1281
K5",M1-R3,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1830 Oak Bay Avenue,Richmond Property Group,R14 changed to R15 in Sep/24,,$65.00,"Oak Bay, BC",May-24,ACTIVE,KA 0381,TH2-R15,August,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1841 Oak Bay Avenue,Starlight Properties c/o Devon Properties,,,$70.00,"Oak Bay, BC",Aug-23,ACTIVE,OB 1481,W2-R14,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1860 Island Highway,Thrifty Foods,Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  ,,$275.00,"Langford, BC",Apr-21,ACTIVE,No Key,M3-R17,September,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
188 Douglas Street,Hutton,,,$55.00,"Victoria, BC",,CANCELLED,"B 881
K4-F1",-,October,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
1885 Forest Park Drive,Panorama Leisure,,,$55.00,"North Saanich, BC",,ACTIVE,No Key,F2-R16,January,Y,ANNUAL,Y,X,X,X,X,Y,Y,Y,Y,Y,,,,,
1901 Mt. Newton Cross Road,Central Saanich Municipality,"$65/month (A).  
PO & Months Required ",,$65.00,"Saanichton, BC",Dec-20,ACTIVE,FM 1091,TU2-R12,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1903 Mt Newton Cross Road,Central Saanich Municipality,"$65/month (A).  
PO & Months Required ",,$65.00,"Saanichton, BC",Feb-20,ACTIVE,MH 3091,TU2-R12,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1928 Lee Avenue,Starlight/Devon,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,175,W2-R14,May,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1939 Lee Avenue,TPM Property management,,,$50.00,"Victoria, BC",,ACTIVE,384,W2-R14,June,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1950-1952 Blanshard Street,RealHomes Management Corp.,,,$55.00,"Victoria, BC",Oct-18,ACTIVE,"AZ 0591
K3-F2",TH3-R21,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1964 Fort Street,Hutton,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,181,W2-R14,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
1975 Lee Avenue,Hutton,,,$55.00,"Victoria, BC",Jul-13,ACTIVE,"F 5791
K3",W2-R14,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1990 Fort Street,Devon Properties,,,$55.00,"Victoria, BC",Dec-24,ACTIVE,TF 0991,W2-R14,September,X,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
20 Olympia Avenue,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,177,W3-R20,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,X,Y,,,,,
200 Dallas Road,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,362,W3-R20,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2006 Sooke Road,Pacifica Housing,Previously R5 - changed November 2025,,$65.00,"Langford, BC",Aug-24,ACTIVE,S 6002,W2-R22,December,X,Y,Y,Y,Y,Y,X,ANNUAL,Y,Y,X,Y,,,,,
2020 Richmond Road                                  ,Brown Bros.,,,$55.00,"Victoria, BC",,ACTIVE,KEY AT SITE,TH2-R15,November,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,,,,,
203 Kimta Road,Firm Management,,,$40.00,"Victoria, BC",Aug-21,ACTIVE,P 302,W1-R7,April,Y,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,X,,,,,
2030 Malaview Drive,Slegg L.P. ,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,No Key,F2-R16,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2035 Mills Road,Axys,,,$60.00,"Sidney, BC",Apr-23,ACTIVE,N/A,M3-R17,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
2040 White Birch Drive,Marina Park Apartments,,,$55.00,"Sidney, BC",Apr-23,ACTIVE,WB 0402,F2-R16,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
"2045 Carrick / 
2060 Haultain","St. Patrick's Church/
St. Clare Villa",$55/month for both sites (quoted by TW),,$55.00,"Victoria, BC",Aug-21,ACTIVE,"CH 5402
K2",W2-R14,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
205 Kimta Road,Firm Management,,,$40.00,"Victoria, BC",Sep-21,ACTIVE,P 302,W1-R7,May,Y,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,X,,,,,
2050 White Birch Drive,Marina Park Apartments,,,$55.00,"Sidney, BC",Apr-23,ACTIVE,WB 0402,F2-R16,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
206 Oswego Street,Dorset Realty,,,$55.00,"Victoria, BC",Jan-15,ACTIVE,"C 602
K2",M1-R2,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
2065 Oak Bay Avenue,Brown Bros.,,,$55.00,"Oak Bay, BC",,ACTIVE,428,TU2-R13,January,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,,,,,
2067 Cadboro Bay,Devon Properties,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,338,W2-R14,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
209 Cook Street,Pemberton Holmes,,,$55.00,"Victoria, BC",,ACTIVE,"Q 902
K4",TU3-R18,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2100 Cadboro Bay,Pemberton Holmes,,,$50.00,"Oak Bay, BC",,ACTIVE,419,W2-R14,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
2120 Cadboro Bay,TPM Properties,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,390,W2-R14,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
